time/total_timesteps,time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/loss,train/learning_rate
307200,6071,,1524,50,200.0,-246232.22407436997,0.0,,,
307200,6071,,1528,50,200.0,-246232.22407436997,0.0,,,
307200,6071,,1532,50,200.0,-246232.22407436997,0.0,,,
307200,6071,,1536,50,200.0,-246232.22407436997,0.0,,,
312000,6061,0.9647142857142856,1540,51,200.0,-246658.53855031,0.0,3145,910.964111328125,0.0001
312000,6061,,1544,51,200.0,-246658.53855031,0.0,,,
312000,6060,,1548,51,200.0,-246658.53855031,0.0,,,
312000,6060,,1552,51,200.0,-246658.53855031,0.0,,,
312000,6060,,1556,51,200.0,-246658.53855031,0.0,,,
312000,6060,,1560,51,200.0,-246658.53855031,0.0,,,
316800,6064,0.9641714285714286,1564,52,200.0,-248222.12190790998,0.0,3195,903.703857421875,0.0001
316800,6064,,1568,52,200.0,-248222.12190790998,0.0,,,
316800,6063,,1572,52,200.0,-248222.12190790998,0.0,,,
316800,6063,,1576,52,200.0,-248222.12190790998,0.0,,,
